symbol,date,avgFundingRate
BNXUSDT,2025-05-23,0.00005000
BNXUSDT,2025-05-24,0.00005000
BNXUSDT,2025-05-25,0.00005000
BNXUSDT,2025-05-26,0.00005000
BNXUSDT,2025-05-27,0.00005000
BNXUSDT,2025-05-28,0.00005000
BNXUSDT,2025-05-29,0.00005000
BNXUSDT,2025-05-30,0.00005000
BNXUSDT,2025-05-31,0.00005000
BNXUSDT,2025-06-01,0.00005000
BNXUSDT,2025-06-02,0.00005000
BNXUSDT,2025-06-03,0.00005000
